epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.818,0.43902,1.2364,1.00357,0.80713,0.68986,0.76243,0.67743,0.37151,2.00612,0.94506,0.000413647,0.000413647,0.000413647
2,238.858,0.50606,0.76194,1.00896,0.23967,0.78492,0.37268,0.2773,0.6046,31.7516,1.40113,0.000822094,0.000822094,0.000822094
3,352.115,0.50088,0.70713,0.99857,0.61707,0.74609,0.76928,0.64292,0.51896,1.40122,1.14885,0.00122229,0.00122229,0.00122229
4,465.632,0.48376,0.65158,0.99302,0.4009,0.75302,0.44939,0.29934,0.85533,3.67972,1.82434,0.00121287,0.00121287,0.00121287
5,578.87,0.43828,0.61174,0.97111,0.88596,0.94414,0.96355,0.91396,0.26615,0.45056,0.85122,0.0012005,0.0012005,0.0012005
6,698.58,0.4106,0.59237,0.95922,0.90686,0.9668,0.9636,0.93159,0.24587,0.51241,0.84449,0.00118812,0.00118812,0.00118812
7,818.442,0.39652,0.55717,0.95406,0.93645,0.92506,0.97185,0.94571,0.23851,0.35678,0.83093,0.00117575,0.00117575,0.00117575
8,938,0.3799,0.55138,0.94037,0.89077,0.98747,0.97169,0.9614,0.21313,0.30237,0.81276,0.00116337,0.00116337,0.00116337
9,1061.71,0.37161,0.52314,0.93762,0.93418,0.96481,0.98275,0.96291,0.23253,0.32614,0.83259,0.001151,0.001151,0.001151
10,1181.08,0.37621,0.49249,0.93677,0.93576,0.95437,0.96827,0.95093,0.24699,0.33882,0.86072,0.00113863,0.00113863,0.00113863
11,1299.32,0.34335,0.47545,0.92906,0.92678,0.97087,0.98021,0.8795,0.26568,0.30179,0.89435,0.00112625,0.00112625,0.00112625
12,1416.89,0.34197,0.46563,0.933,0.88744,0.96256,0.98163,0.95579,0.22581,0.32324,0.8237,0.00111388,0.00111388,0.00111388
